Lintang,Bujur,Kelas
-8.27,114.84,1
-8.37,122.8,1
-10.18,105.17,2
0.36,126.53,2
-6.34,103.67,2
1.83,124.44,1
-7.25,106.06,2
-4.8,102.91,2
3.71,96.59,4
-1.3,120.55,4
-8.62,125.43,3
-1.29,120.46,4
-1.76,100.44,2
-7.05,106.48,2
-9.99,119.27,2
-9.39,114.86,1
0.83,121.34,1
0.37,122.07,1
1.77,122.34,2
-5.11,102.88,4
-9.71,118.68,1
-0.64,131.21,1
-7.81,105.93,2
-9.3,115.43,4
-6.78,128.08,4
-7.29,106.25,1
-7.76,106.0,3
-7.72,105.95,4
-7.55,106.14,1
-3.33,128.56,2
-4.04,129.53,5
-0.52,123.65,1
-5.56,131.05,3
-7.72,106.32,2
-3.32,128.57,2
-4.04,129.5,4
-7.84,106.48,5
-7.52,106.02,1
-4.1,103.1,2
-7.76,105.88,4
-7.75,105.93,2
-8.77,118.75,2
-9.83,119.44,3
0.48,121.66,1
-5.36,119.77,1
-8.92,117.71,2
-0.26,121.95,1
-9.63,117.7,4
-7.66,128.08,4
0.42,121.64,2
3.43,126.84,4
-0.58,133.82,4
1.18,121.0,1
-1.28,120.47,2
4.13,95.54,2
-1.29,120.58,2
-6.01,105.46,2
-5.98,105.45,1
-4.54,102.61,2
-6.23,133.22,3
-8.89,111.48,2
-9.15,111.73,1
0.33,123.38,1
-8.97,110.95,4
-5.89,102.87,4
-2.27,122.45,3
-7.22,105.85,3
-7.25,107.71,1
-6.42,130.91,4
-6.19,127.25,4
-0.46,124.06,2
0.63,122.19,3
-3.46,101.72,2
-9.07,118.38,2
-7.57,106.72,3
-4.91,130.49,5
-6.03,100.89,5
-6.87,105.44,3
0.3,122.34,3
-9.49,117.29,3
-8.45,119.75,3
-7.17,106.06,1
-0.27,122.95,3
-8.36,111.43,2
-7.04,107.01,1
-8.91,110.95,2
-7.81,106.04,1
-3.94,129.54,1
-9.49,111.91,2
-7.85,107.83,1
-3.78,101.69,1
-7.86,107.04,1
3.17,98.32,2
-6.86,108.01,1
-7.96,117.36,2
-9.12,116.32,1
0.02,122.34,1
-7.99,123.7,2
-0.34,122.98,1
-4.75,132.39,5
3.18,128.1,4
-7.16,106.1,2
2.25,128.37,3
1.77,124.3,1
-8.36,118.62,2
4.48,127.02,3
-1.85,100.4,3
-8.26,118.83,1
-3.1,130.55,2
-9.22,119.71,2
-0.12,123.77,2
-7.52,127.81,3
-7.89,106.5,2
0.81,99.95,4
2.58,133.04,4
2.7,133.22,4
-9.01,115.67,2
-8.95,112.75,2
-8.34,124.72,1
-0.02,122.82,1
-4.5,103.75,2
1.48,124.39,5
-8.29,125.01,1
-8.41,124.51,1
-1.32,127.18,1
1.16,99.49,1
-5.66,103.4,2
-8.64,108.1,1
1.37,126.25,1
2.07,126.47,1
-3.21,127.38,1
-0.28,123.05,4
-5.45,103.72,1
-8.06,106.75,1
-7.15,125.36,3
1.0,98.77,4
-7.84,112.55,1
-0.71,127.2,5
-1.29,130.86,1
-10.49,120.35,3
-10.52,120.4,2
-10.5,115.59,4
-5.26,131.66,3
-8.9,116.9,1
-3.61,139.51,3
-0.07,124.2,1
1.12,126.77,2
2.36,98.94,2
-10.2,119.04,1
2.33,98.95,1
-8.23,125.46,2
-0.1,123.2,1
-2.85,120.01,1
-6.77,105.43,2
-8.74,118.96,1
-7.25,129.48,3
-8.53,108.32,1
-6.82,130.16,3
-3.44,129.83,1
-2.51,128.69,2
-8.97,112.79,1
-6.81,129.49,3
-5.43,103.56,4
4.95,95.94,2
4.49,96.27,1
-4.06,130.32,1
-7.63,128.34,4
-8.64,119.69,1
-5.66,103.57,1
-9.32,125.56,1
-0.07,123.46,1
2.61,122.3,2
1.04,121.76,1
-8.81,111.02,1
-7.93,107.88,1
-9.46,117.9,1
-2.86,100.37,4
-9.08,111.23,1
-4.28,126.35,3
-0.05,126.95,3
-8.89,118.11,1
-7.05,105.26,1
-3.17,130.75,5
-3.18,130.77,5
-3.11,130.69,1
-3.2,130.68,2
-8.57,118.44,1
-3.11,130.73,1
-9.16,111.22,3
-9.71,119.93,1
-3.16,130.73,1
-3.0,128.21,1
0.67,122.62,1
-5.01,131.35,4
1.94,126.36,2
0.31,121.79,1
0.73,121.92,1
-8.13,107.67,1
-5.37,129.72,4
0.13,98.01,1
-0.19,122.88,1
-10.49,115.98,1
