Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-7.47,128.48,147,1517869988.0,4
3.43,126.84,55,1518820258.0,4
3.21,128.22,35,1531921237.0,4
-8.35,116.54,10,1532793339.0,4
-6.01,132.23,10,1527000045.0,4
-7.26,105.95,10,1517665758.0,4
-6.91,106.4,10,1530915825.0,4
-2.88,100.06,26,1529882531.0,4
-0.28,123.05,10,1519127424.0,4
-4.86,138.54,10,1531427650.0,4
-6.42,130.91,102,1518891730.0,4
-7.84,128.08,134,1516461066.0,4
-6.78,128.08,384,1518725836.0,4
-6.59,128.5,294,1516428600.0,4
-6.17,119.67,10,1517607881.0,4
-1.27,99.68,40,1517675033.0,4
1.03,99.53,10,1529514803.0,4
0.27,122.06,166,1532308714.0,4
-3.13,130.73,16,1519482339.0,4
-6.27,130.44,184,1517532176.0,4
3.09,128.85,13,1517220793.0,4
-6.83,129.88,193,1525717279.0,4
-9.56,112.83,12,1531976624.0,4
4.66,126.83,40,1527949570.0,4
-4.85,129.63,200,1527511289.0,4
3.56,126.99,53,1525967534.0,4
-9.65,115.22,31,1530555542.0,4
-5.37,129.72,193,1519345238.0,4
-10.65,112.18,25,1526211405.0,4
-5.99,102.61,44,1518424699.0,4
-6.46,101.7,10,1514762562.0,4
-7.48,126.58,322,1530472067.0,4
-4.32,102.01,40,1526745823.0,4
