Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-0.99,121.24,10,1516773274.0,1
-1.19,127.07,10,1516779295.0,1
-7.13,106.12,47,1516780356.0,1
-7.57,105.52,58,1516783103.0,1
-9.38,107.2,13,1516793811.0,3
3.98,95.07,64,1516812318.0,2
1.77,126.51,12,1516819774.0,3
-4.43,102.17,10,1516827441.0,2
-8.21,123.23,198,1516844298.0,2
-1.27,130.94,10,1516845140.0,1
-6.56,106.55,10,1516850180.0,1
-0.11,125.26,18,1516857464.0,2
-3.33,131.2,30,1516857902.0,3
1.59,121.41,10,1516860001.0,1
-2.01,123.92,10,1516862018.0,4
-8.96,124.25,10,1516867148.0,1
-1.09,128.6,14,1516867316.0,2
-7.09,106.2,25,1516867917.0,1
0.75,100.05,10,1516871255.0,1
-0.42,132.19,24,1516874249.0,2
-2.1,126.18,30,1516875648.0,2
-0.26,123.03,86,1516877240.0,1
-0.2,132.17,88,1516879023.0,1
1.46,122.17,10,1516879896.0,1
-2.8,128.06,16,1516883027.0,2
0.66,121.2,23,1516887237.0,1
-7.11,106.08,19,1516898842.0,1
-0.04,123.16,135,1516899473.0,1
-0.23,122.93,55,1516900742.0,2
-4.2,129.31,17,1516905258.0,2
-3.14,130.58,10,1516911152.0,2
-1.37,120.57,10,1516913324.0,3
-1.19,119.87,10,1516915346.0,2
-1.48,119.96,177,1516916172.0,1
-7.19,106.05,30,1516916905.0,5
0.32,97.99,39,1516918034.0,1
-3.12,130.52,10,1516933162.0,2
-2.9,130.2,24,1516933974.0,1
-7.19,106.04,30,1516936370.0,5
-9.52,110.14,10,1516936963.0,2
-1.13,126.86,21,1516938227.0,5
-4.32,134.17,18,1516940327.0,4
-7.37,106.9,96,1516945202.0,1
-1.07,126.8,10,1516945667.0,1
-7.25,105.9,10,1516946494.0,2
-1.23,126.98,12,1516950486.0,1
-7.28,106.15,25,1516952594.0,1
-3.1,130.51,13,1516953239.0,2
-8.17,118.83,10,1516953307.0,2
-4.75,102.62,49,1516960610.0,2
0.39,124.45,96,1516961348.0,2
-1.17,126.79,10,1516968337.0,2
-8.01,106.96,31,1516996440.0,1
-3.1,130.55,10,1516996775.0,1
-7.13,106.06,21,1516998961.0,2
-6.41,130.54,142,1517008274.0,4
0.64,119.94,10,1517009598.0,2
3.09,97.37,29,1517015066.0,1
-7.63,108.99,175,1517015484.0,2
-0.74,124.34,21,1517035249.0,2
-8.59,118.76,125,1517042571.0,4
-1.28,120.77,10,1517067312.0,2
3.7,96.38,34,1517068398.0,4
-9.95,119.2,37,1517069947.0,3
0.76,122.65,16,1517071189.0,1
-9.91,119.25,22,1517074118.0,3
0.67,97.26,31,1517078247.0,1
0.44,122.01,182,1517100459.0,1
0.59,123.68,234,1517101016.0,1
-7.86,106.16,10,1517104973.0,1
