Lintang,Bujur,Kedalaman(KM),Magnitudo(SR),Timestamp
-7.94,117.59,22,3.2,1516253646.0
-3.88,131.75,101,3.9,1516260653.0
0.76,126.49,43,4.3,1516260716.0
-5.29,120.9,23,3.0,1516261418.0
1.68,123.02,26,2.6,1516263787.0
-0.08,97.9,37,2.8,1516269886.0
0.43,124.43,10,2.5,1516271173.0
-6.41,132.72,62,5.7,1516272520.0
-9.32,110.48,10,3.4,1516273407.0
-7.29,106.6,170,3.1,1516277280.0
-2.26,131.69,10,2.9,1516283129.0
-8.51,108.82,53,3.3,1516287246.0
0.29,122.12,27,1.8,1516293695.0
-0.1,121.59,18,2.5,1516297700.0
1.59,126.32,10,4.6,1516298631.0
0.15,124.04,105,3.4,1516305887.0
0.88,122.54,15,2.4,1516309948.0
-0.57,131.27,10,2.3,1516310934.0
0.86,121.81,160,1.9,1516311323.0
0.11,121.8,133,2.2,1516329364.0
-7.71,106.84,19,2.6,1516341227.0
-11.08,118.52,10,3.6,1516346004.0
-0.8,124.07,10,3.0,1516346255.0
-2.46,131.87,140,3.0,1516346741.0
-0.53,119.71,10,2.8,1516353146.0
-2.62,129.4,10,3.1,1516354187.0
0.16,123.81,127,3.5,1516358985.0
-7.58,106.74,27,2.8,1516360499.0
-1.33,99.19,83,3.0,1516362367.0
1.99,121.55,10,2.5,1516363301.0
-8.09,123.98,173,3.0,1516364834.0
1.35,97.06,28,4.1,1516366556.0
1.97,126.79,93,3.7,1516371272.0
1.78,126.41,77,3.3,1516371471.0
-1.32,120.46,10,3.0,1516371864.0
-0.1,123.25,144,3.2,1516386200.0
-7.82,108.04,51,2.1,1516388131.0
0.9,126.55,10,3.9,1516389513.0
-0.11,121.98,10,2.2,1516390394.0
-0.05,122.11,10,2.0,1516391588.0
-0.33,122.99,10,2.5,1516398265.0
-10.52,116.36,10,3.2,1516402907.0
1.09,126.9,104,3.7,1516407083.0
1.13,122.71,13,2.2,1516415394.0
-7.27,129.45,209,4.2,1516420816.0
-9.57,124.84,10,2.5,1516422742.0
-11.16,118.2,90,3.6,1516423963.0
-3.55,129.9,10,3.5,1516425233.0
-8.58,121.94,14,2.8,1516425236.0
2.29,128.42,10,4.2,1516425367.0
-6.59,128.5,294,4.7,1516428600.0
-4.51,128.17,14,3.9,1516428829.0
0.29,121.33,38,2.3,1516429729.0
-7.32,129.48,186,4.3,1516432492.0
-8.71,118.8,91,3.2,1516435625.0
0.45,121.59,110,2.2,1516441889.0
-8.16,116.74,28,2.7,1516442619.0
0.49,122.37,10,2.0,1516442739.0
1.15,98.93,76,3.2,1516460434.0
-7.84,128.08,134,4.9,1516461066.0
-7.38,107.19,98,3.7,1516461695.0
-11.3,116.31,10,3.9,1516463641.0
3.87,125.88,136,3.9,1516464151.0
-0.08,129.83,10,2.8,1516479665.0
-3.14,130.52,10,3.3,1516483387.0
-0.03,125.74,10,3.4,1516483611.0
-0.23,133.24,10,4.2,1516492542.0
-7.97,106.58,10,3.6,1516492685.0
-7.75,107.03,22,2.3,1516496483.0
-2.19,118.56,17,2.7,1516498764.0
0.33,120.66,12,4.0,1516502626.0
-1.63,100.68,35,3.4,1516503255.0
0.72,122.26,65,3.2,1516512152.0
-4.6,104.05,136,4.3,1516512459.0
-9.05,111.51,10,3.8,1516528484.0
-7.5,128.56,190,3.9,1516529526.0
-2.92,129.88,16,3.6,1516532323.0
-4.05,130.33,56,4.2,1516566173.0
-7.41,127.94,202,4.7,1516580112.0
-0.67,131.45,25,3.0,1516580538.0
-1.36,120.58,10,3.0,1516602944.0
-1.3,120.54,12,3.9,1516603548.0
-9.42,120.22,50,4.0,1516604879.0
-8.67,119.43,148,3.7,1516605173.0
-9.11,110.03,84,4.6,1516628997.0
-3.33,131.17,59,4.2,1516656333.0
-7.13,106.04,46,6.1,1516664094.0
-7.26,106.26,20,4.4,1516664314.0
-7.16,106.09,23,4.0,1516664458.0
-7.13,106.12,29,3.7,1516664550.0
-7.07,106.21,28,3.3,1516664634.0
-7.21,106.08,19,4.1,1516665006.0
-7.16,106.01,20,4.3,1516665164.0
-7.11,106.07,28,3.5,1516665830.0
-7.26,105.98,33,3.2,1516665913.0
-7.06,105.95,27,3.0,1516666592.0
-7.2,106.18,23,3.0,1516666718.0
-7.23,106.01,19,3.1,1516666988.0
-7.21,106.2,26,2.8,1516667110.0
-7.13,106.14,22,3.5,1516667545.0
-7.06,106.14,29,2.9,1516668370.0
-7.19,105.98,19,3.8,1516668785.0
-7.2,106.11,32,4.8,1516668971.0
-7.22,106.12,27,4.3,1516669130.0
-7.14,106.19,33,2.8,1516670176.0
-7.17,106.13,28,3.3,1516670425.0
-7.15,106.08,16,2.9,1516671489.0
-7.19,106.08,21,3.2,1516672232.0
-7.23,106.09,28,4.0,1516672515.0
-7.09,106.17,33,3.0,1516673081.0
-7.24,106.09,37,4.1,1516673708.0
0.52,119.54,10,2.4,1516673811.0
-7.25,106.12,32,3.4,1516674005.0
-7.27,106.09,32,3.7,1516675256.0
-8.97,111.16,10,4.4,1516677863.0
-9.54,117.75,26,3.5,1516680195.0
-1.88,129.05,10,3.4,1516680380.0
-7.21,106.12,33,4.1,1516680582.0
-7.22,106.05,29,3.6,1516684738.0
-7.13,106.15,33,3.0,1516686872.0
-7.21,106.08,41,4.2,1516687077.0
-7.16,106.05,32,3.8,1516687423.0
-8.22,118.26,178,3.0,1516687992.0
-7.15,106.15,36,2.9,1516689392.0
0.44,121.23,59,2.0,1516691170.0
2.73,125.73,152,3.9,1516691650.0
-7.14,106.08,32,3.0,1516692235.0
0.36,122.03,178,3.0,1516693197.0
-7.24,106.24,25,2.5,1516693722.0
-8.07,107.47,29,2.6,1516694319.0
1.85,126.69,10,3.3,1516695649.0
-8.62,117.14,151,2.8,1516696220.0
-9.13,118.59,93,3.5,1516696648.0
-9.38,115.13,38,3.0,1516697757.0
-7.17,106.15,28,2.9,1516698626.0
1.43,124.66,212,3.2,1516700408.0
-8.27,117.73,27,2.2,1516701308.0
-7.22,106.11,25,4.2,1516701886.0
-3.2,130.59,13,5.1,1516703910.0
-7.2,106.16,26,2.7,1516705224.0
-3.15,130.67,17,2.9,1516705428.0
-3.17,130.56,10,3.0,1516705684.0
-3.71,130.16,10,3.3,1516706265.0
-7.11,106.26,10,2.7,1516706483.0
-3.16,130.56,10,3.1,1516706531.0
-3.12,130.55,10,2.7,1516706845.0
-10.0,123.43,65,3.0,1516706888.0
-8.95,118.43,76,3.0,1516707377.0
-3.35,130.54,10,3.3,1516707797.0
-7.08,105.97,31,3.0,1516708140.0
-3.11,130.25,10,3.1,1516709009.0
-7.16,106.1,21,3.6,1516709253.0
-7.03,106.13,28,3.3,1516712516.0
-7.21,106.05,39,3.5,1516713089.0
-0.46,119.89,10,2.6,1516718387.0
-7.18,106.04,31,3.7,1516719135.0
-7.25,106.01,19,3.2,1516724965.0
-4.71,102.73,58,5.0,1516729214.0
-7.23,105.98,11,4.4,1516733342.0
0.49,97.94,35,3.2,1516745670.0
-7.21,105.99,46,4.9,1516750365.0
2.54,95.46,37,5.0,1516751827.0
1.61,127.24,125,4.4,1516766140.0
-7.16,106.01,17,3.4,1516766934.0
-7.23,106.08,27,4.0,1516772404.0
-11.27,117.55,10,3.6,1516773209.0
-0.99,121.24,10,3.3,1516773274.0
-1.19,127.07,10,3.2,1516779295.0
-7.13,106.12,47,3.0,1516780356.0
-7.57,105.52,58,3.0,1516783103.0
-9.38,107.2,13,4.4,1516793811.0
